Pressure(bar),Uptake(mmol/g)
0.004329,0.009326
0.095238,0.037306
0.134199,0.046632
0.160173,0.055959
0.186147,0.065285
0.212121,0.083938
0.238095,0.093264
0.264069,0.102591
0.290043,0.111917
0.316017,0.121244
0.346320,0.121244
0.372294,0.130570
0.398268,0.139896
0.419913,0.149223
0.450216,0.158549
0.471861,0.158549
0.497835,0.177202
0.523810,0.177202
0.554113,0.186528
0.580087,0.186528
0.601732,0.195855
0.632035,0.205181
0.653680,0.205181
0.688312,0.214508
0.714286,0.223834
0.740260,0.223834
0.766234,0.223834
0.792208,0.223834
0.818182,0.233161
0.844156,0.233161
0.870130,0.233161
0.896104,0.242487
0.926407,0.242487
0.952381,0.261140
0.978355,0.251813
1.000000,0.251813
1.025974,0.261140
